gvkey,datadate,fyear,tic,revt,sic
004001,20191231,2019,DXYN,374.5820,2273
004016,20190131,2018,DG,25625.0430,5331
004019,20191231,2019,WFSTF,807.7000,2421
004029,20191231,2019,D,16572.0000,4911
004036,20190731,2019,DCI,2851.4000,3714
004040,20191231,2019,RRD,6276.2000,2750
004045,20191231,2019,DMLP,78.7990,6792
004058,20191231,2019,DOV,7136.3970,3585
004060,20191231,2019,DD,21512.0000,2860
004066,20191231,2019,OMC,14953.7000,7311
004072,20190731,2019,ASNAQ,5493.4000,5621
004091,20191231,2019,DCO,721.0880,3728
004093,20191231,2019,DUK,25079.0000,4931
004094,20191231,2019,DNB,1413.9000,7323
004108,20191231,2019,FLS,3944.8500,3561
004115,20190131,2018,DY,3127.7000,1623
004124,20190630,2019,DYNT,62.5650,3845
004130,20190930,2019,DYSL,43.7010,3827
004145,20191231,2019,PKI,2883.6730,3826
004186,20191231,2019,EML,251.7430,3420
004193,20191231,2019,EGP,331.5160,6798
004193,20191231,2019,EGP,381.0710,6798
004194,20191231,2019,KODK,1242.0000,3577
004199,20191231,2019,ETN,21390.0000,3620
004201,20191031,2019,EV,1683.2520,6282
004201,20191031,2019,EV,1805.4440,6282
004213,20191231,2019,ECL,14906.3000,2842
004225,20190228,2018,EDUC,118.8110,5190
004241,20191231,2019,EE,861.9940,4911
004275,20191231,2019,ELSE,8.2580,3823
004292,20191231,2019,ETCIA,0.5280,3661
004321,20190930,2019,EMR,18372.0000,3823
004322,20190331,2018,MSN,8.9820,3651
004341,20191231,2019,SORL,540.1880,3714
004367,20191231,2019,WFTLF,5215.0000,1381
004383,20190930,2019,ATO,2901.8480,4924
004384,20191231,2019,MARA,1.1850,7374
004390,20190228,2018,EBF,400.7820,2761
004409,20191231,2019,ENZN,0.2070,2836
004412,20191231,2019,VKSC,384.8720,3089
004415,20190228,2018,ETCC,48.4240,3728
004418,20190731,2019,ENZ,81.1700,8071
004423,20191231,2019,EFX,3527.6000,7323
004430,20191231,2019,EQT,4416.4840,4923
004439,20191231,2019,ERIC,24322.0750,3663
004448,20191231,2019,ESCA,180.5410,3949
004450,20190630,2019,ESP,36.4780,3679
004462,20191231,2019,NEU,2190.2950,2860
004467,20191231,2019,ESCC,27.7160,3679
004485,20191231,2019,KINS,145.5630,6331
004485,20191231,2019,KINS,145.9050,6331
004494,20191231,2019,EXPD,8175.4260,4731
004497,20191231,2019,BOOM,397.5500,3533
004498,20190930,2019,IIIN,455.7130,3310
004503,20191231,2019,XOM,255583.0000,2911
004510,20191231,2019,FMC,4609.8000,2870
004517,20191231,2019,NEE,19204.0000,4911
004579,20190630,2019,FARM,595.9420,2090
004598,20190531,2018,FDX,69693.0000,4513
004599,20191231,2019,RUSMF,3675.9000,5051
004601,20191231,2019,FNMA,120304.0000,6111
004601,20191231,2019,FNMA,122518.0000,6111
004605,20191231,2019,FRT,1071.9220,6798
004605,20191231,2019,FRT,935.0420,6798
004607,20190630,2019,FSCR,73.3530,3452
004608,20191231,2019,FSS,1221.3000,3711
004611,20190131,2018,M,25739.0000,5311
004622,20191231,2019,FOE,1018.3660,2851
004632,20191231,2019,CLBS,0.0000,2836
004640,20191231,2019,FITB,8900.0000,6020
004640,20191231,2019,FITB,8900.0000,6020
004669,20191231,2019,FINGF,7817.0000,5082
004674,20191231,2019,RF,6755.0000,6020
004674,20191231,2019,RF,6755.0000,6020
004685,20191231,2019,TRMK,697.5370,6020
004685,20191231,2019,TRMK,697.5370,6020
004690,20191231,2019,FCNCA,1819.8720,6020
004690,20191231,2019,FCNCA,1819.8720,6020
004695,20190331,2018,FCIC,0.0000,9995
004699,20191231,2019,MTB,6941.2720,6020
004699,20191231,2019,MTB,6941.2720,6020
004723,20191231,2019,USB,27325.0000,6020
004723,20191231,2019,USB,27325.0000,6020
004737,20191231,2019,FHN,2278.3620,6020
004737,20191231,2019,FHN,2278.3620,6020
004759,20190930,2019,BDL,116.2020,5812
004763,20191231,2019,MALJF,1016.2190,3728
004771,20190630,2019,FLXS,443.5880,2510
004798,20191231,2019,FPL1,12192.0000,4911
004799,20191231,2019,DUK9,5231.0000,4911
004809,20191231,2019,FLO,4123.9740,2050
004818,20191231,2019,FLR,14348.0180,1600
004826,20190630,2019,FONR,87.1930,8071
004839,20191231,2019,F,155900.0000,3711
004840,20191231,2019,F1,12767.0000,6159
004860,20191231,2019,FSTR,655.0570,5051
004881,20191231,2019,FELE,1314.5780,3621
004885,20190930,2019,BEN,5774.5000,6282
004885,20190930,2019,BEN,5876.5000,6282
004900,20190430,2018,FEIM,49.5090,3825
004903,20190331,2018,FRD,187.1540,3310
004925,20190331,2018,FUJIY,21943.3860,3861
004926,20191130,2019,FUL,2897.0000,2891
004941,20191231,2019,GATX,1393.8000,4700
004973,20191231,2019,AJG,7195.0000,6411
004988,20191231,2019,TGNA,2299.4970,4833
004990,20190131,2018,GPS,16580.0000,5651
005018,20191231,2019,AJRD,1981.5000,3760
005046,20191231,2019,GD,39350.0000,3721
005047,20191231,2019,GE,95214.0000,9997
005050,20190930,2019,JOB,151.6740,7361
005071,20190531,2018,GIS,16865.2000,2040
005072,20191231,2019,ALLY,11556.0000,6172
005072,20191231,2019,ALLY,11618.0000,6172
005073,20191231,2019,GM,137237.0000,3711
005087,20191231,2019,SPXC,1525.4000,3585
005109,20190131,2018,GCO,2188.5530,5661
005116,20191231,2019,GNTX,1858.8970,3714
005125,20191231,2019,GPC,19392.3050,5013
005135,20191231,2019,SO2,8408.0000,4911
005149,20191231,2019,GTY,141.7380,6798
005149,20191231,2019,GTY,140.6750,6798
005165,20190331,2018,GIGA,11.1480,3670
005179,20191231,2019,GLT,927.6730,2621
005180,20191231,2019,GSK,45168.6620,2834
005205,20191231,2019,GDRZF,0.0000,1040
005218,20191231,2019,GV,180.6460,1623
005234,20191231,2019,GT,14745.0000,3011
005237,20191231,2019,GRC,398.1790,3561
005242,20191231,2019,6283B,77.8120,6798
005250,20191231,2019,GRA,1958.1000,2810
005252,20191231,2019,GGG,1646.0450,3561
005254,20190331,2018,GHM,91.8310,3443
005256,20191231,2019,GWW,11486.0000,5000
005284,20191231,2019,GTN,2122.0000,4833
005288,20191231,2019,1737B,7523.9000,5063
005299,20191231,2019,JFTSF,5.1650,6199
005338,20191031,2019,GEF,4595.0000,2650
005342,20191231,2019,MGI,1285.1000,6099
005342,20191231,2019,MGI,1285.1000,6099
005408,20191231,2019,HMG,0.5620,6798
005439,20191231,2019,HAL,22408.0000,1389
005492,20190630,2019,LHX,6801.0000,3812
005496,20191231,2019,HSC,1503.7420,3390
005518,20191231,2019,HAS,4720.2270,3944
005520,20191231,2019,AMOT,371.0840,3621
005523,20191231,2019,HVT,802.3700,5712
005525,20191231,2019,HE1,2545.9420,4911
005526,20191231,2019,HE,2874.6010,4911
005530,20190331,2018,HWKN,556.3260,5160
005539,20191231,2019,HCSG,1840.7780,7340
005543,20191231,2019,WELL,5140.9770,6798
005543,20191231,2019,WELL,5163.7400,6798
005559,20191231,2019,STRL,1126.2780,1600
005560,20191231,2019,HL,673.2660,1040
005567,20191031,2019,HEI,2055.6470,3724
005568,20191231,2019,KHC,24977.0000,2030
005572,20190228,2018,HELE,1564.1510,3634
005581,20190930,2019,HP,2787.3300,1381
005583,20191231,2019,HMENF,24.2440,1311
005597,20191231,2019,HSY,7986.2520,2060
005600,20191231,2019,HTZGQ,9779.0000,7510
005606,20191031,2019,HPQ,58756.0000,3570
005608,20191231,2019,HXL,2355.7000,2821
005621,20191231,2019,CRAWA,89.6990,3564
005639,20190930,2019,HRC,2912.6000,2590
005643,20191231,2019,HLT,9452.0000,7011
005650,20190331,2018,HTHIY,85559.4580,3570
005667,20191231,2019,HFC,17486.5780,2911
005680,20190131,2018,HD,108203.0000,5211
005690,20191231,2019,HNI,2246.9470,2522
005691,20190331,2018,HMC,143389.5250,3711
005709,20191031,2019,HRL,9497.3170,2011
005742,20191231,2019,CNP,12301.0000,4931
005750,20191031,2019,HOV,2016.9160,1531
005763,20191031,2019,UBA,139.2290,6798
005763,20191031,2019,UBA,139.6130,6798
005764,20191231,2019,HUBB,4591.0000,3640
005770,20190131,2018,HBAYF,9376.0000,5311
005783,20191231,2019,JBHT,9165.2580,4213
005786,20191231,2019,HBAN,5640.0000,6020
005786,20191231,2019,HBAN,5640.0000,6020
005788,20191031,2019,HURC,263.3770,3823
005792,20191231,2019,HBP,812.0000,5031
005808,20191231,2019,4300A,10809.9970,4911
005831,20190930,2019,IEC,156.9810,3672
005849,20191231,2019,BVH,984.7760,6035
005849,20191231,2019,BVH,984.8510,6035
005860,20191231,2019,ITT,2846.4000,3561
005862,20191231,2019,RYN,711.5560,6798
005862,20191231,2019,RYN,715.2720,6798
005870,20191231,2019,IDA,1346.3830,4911
005878,20191231,2019,ITW,14109.0000,3560
005888,20191231,2019,TLGT,65.8960,2834
005902,20191231,2019,IMMU,0.2950,2835
005903,20191231,2019,IMO,32194.0000,2911
005914,20191231,2019,AEP2,2306.7000,4911
005932,20190331,2018,IEHC,28.4060,3678
005959,20191231,2019,TT,16598.9000,3585
